Var1,pit_id,height,site_name,latitude,longitude,date,grain_size,density,temperature,b,zeta,Snowheight,SWEfin
8,COGM1N20_20200205,35,Grand Mesa,39.0312619703727,-108.189481332066,2020-02-05,2.0625,230.75,-9.68,1.812076975,7500.32376916311,26,70
9,COGM1N23_20200211,68,Grand Mesa,39.0318356661912,-108.186374550131,2020-02-11,2.0625,293.928571428571,-5.8625,2.06620014285714,7500.32376916311,84.0442741087272,229.440868316825
14,COGM1S1_20200129,83,Grand Mesa,39.0211989528399,-108.205598296816,2020-01-29,1.75,238.722222222222,-4.81,1.75748739444444,8807.77252378376,70.6459115696547,192.863338585157
15,COGM1S12_20200211,90,Grand Mesa,39.0182635121411,-108.191416857661,2020-02-11,2.39285714285714,298.1875,-5.33,2.17493886696429,6485.99633474829,84.0442741087272,229.440868316825
16,COGM1S13_20200205,83,Grand Mesa,39.0177894009436,-108.190061364935,2020-02-05,1.625,323.722222222222,-8.99,2.06472039444444,9469.84149780253,87.6983729830196,239.416558243644
17,COGM1S17_20200208,98,Grand Mesa,39.0197517481089,-108.181784025492,2020-02-08,2.10714285714286,292.962962962963,-3.81818181818182,2.07469564021164,7344.87803568403,80.776149055201,220.518886920699
18,COGM1S2_20200208,82,Grand Mesa,39.0199479188528,-108.203395562149,2020-02-08,1.52777777777778,278.62962962963,-5.38181818181818,1.85638473703704,10058.8061055552,62.5926536847365,170.877944559331
19,COGM1S8_20200201,74,Grand Mesa,39.0216566974624,-108.197646042038,2020-02-01,2.1875,257.020833333333,-7.67777777777778,1.95240864791667,7080.89406294409,111.884044251778,305.443440807355
24,COGM2C33_20200130,98,Grand Mesa,39.0131096309495,-108.161262140107,2020-01-30,2.5,278.222222222222,-5.25454545454545,2.12434324444444,6214.01035782809,102.31476848019,279.319317950918
28,COGM2N12_20200131,99,Grand Mesa,39.0347915564277,-108.198755654759,2020-01-31,1.20833333333333,266.516666666667,-4.22727272727273,1.71908082166667,12652.5672335821,97.4426366477996,266.018398048493
29,COGM2N13_20200206,139,Grand Mesa,39.0339657462133,-108.196258595287,2020-02-06,1.375,318.285714285714,-5.30666666666667,1.97352812857143,11150.5749830382,97.3889338051573,265.871789288079
30,COGM2N14_20200211,96,Grand Mesa,39.0333258953454,-108.194377986989,2020-02-11,1.5,296.722222222222,-5.24545454545455,1.92145579444444,10240.9453825667,102.31476848019,279.319317950918
31,COGM2N21_20200211,103,Grand Mesa,39.0321015161112,-108.187311162824,2020-02-11,1.875,298.8,-4.47272727272727,2.03380074,8233.07472604879,85.2623070668247,232.766098292431
33,COGM2N48_20200201,97,Grand Mesa,39.0322282015729,-108.148772864925,2020-02-01,1.15625,255.816666666667,-3.88181818181818,1.66159950333333,13209.6920710096,92,252
36,COGM2S10_20200205,77,Grand Mesa,39.0194743669932,-108.192315910525,2020-02-05,1.41666666666667,294.642857142857,-8.7,1.88998363095238,10829.7271479633,97.4426366477996,266.018398048493
38,COGM2S16_20200208,94,Grand Mesa,39.0187720237461,-108.182250246073,2020-02-08,2.0625,285.703703703704,-3.85454545454545,2.03311725740741,7500.32376916311,86.2439454450164,235.445971064895
39,COGM2S20_20200206,92,Grand Mesa,39.0191612196284,-108.176368081337,2020-02-06,1.46428571428571,250.222222222222,-5.27272727272727,1.72451527301587,10485.1643951489,83.0626317863629,226.760984776771
40,COGM2S25_20200129,103,Grand Mesa,39.0162463741449,-108.168365755808,2020-01-29,1,258.283333333333,-3.59166666666667,1.62819305166667,15225,92.5705048154096,252.717478146068
41,COGM2S27_20200204,70,Grand Mesa,39.0179582033088,-108.167258069364,2020-02-04,1.625,272.5,-6.3625,1.85868925,9469.84149780253,103.532801438287,282.644547926524
42,COGM2S3_20200129,66,Grand Mesa,39.0210889176264,-108.202888617219,2020-01-29,1.35714285714286,230.666666666667,-5.62222222222222,1.61614624761905,11294.0446010457,113.277065103067,309.246387731373
43,COGM2S35_20200130,99,Grand Mesa,39.0165603444232,-108.162382815446,2020-01-30,1.82142857142857,264.944444444444,-4.30909090909091,1.88276818174603,8469.82083665368,104.750834396385,285.96977790213
44,COGM2S36_20200129,95,Grand Mesa,39.0157410531104,-108.162034500527,2020-01-29,1.25,250.481481481481,-3.85454545454545,1.66613666296296,12239.9405544605,107.18690031258,292.620237853342
46,COGM2S4_20200205,74,Grand Mesa,39.0179514619434,-108.201291605332,2020-02-05,1.89285714285714,351.25,-11.52,2.24972216071429,8157.10505284327,118.149196935457,322.547307633798
49,COGM2S48_20200129,85,Grand Mesa,39.0155576353391,-108.139419336114,2020-01-29,1.45,232.375,-4.09,1.6487669625,10586.1829485068,82,225
51,COGM2S7_20200208,75,Grand Mesa,39.0186600777927,-108.197787522482,2020-02-08,1.75,281.142857142857,-4.62222222222222,1.92811591428571,8807.77252378376,57.3405786208494,156.539779634919
53,COGM3N22_20200128,100,Grand Mesa,39.032206546182,-108.186810312932,2020-01-28,1.34375,247.5,-4.71666666666667,1.680141125,11404.1213658383,107.18690031258,292.620237853342
54,COGM3N26_20200208,107,Grand Mesa,39.0334145786603,-108.184232718284,2020-02-08,1.33333333333333,291.621212121212,-3.36923076923077,1.85472133484849,11491.2485123692,73.0819774858497,199.51379853637
57,COGM3S33_20200204,102,Grand Mesa,39.0168271845385,-108.164092826417,2020-02-04,1.38888888888889,284.136363636364,-6.60833333333333,1.84002058434343,11041.510322842,104.750834396385,285.96977790213
59,COGM3S47_20200129,102,Grand Mesa,39.014367412486,-108.141580568592,2020-01-29,1.375,241.727272727273,-3.14166666666667,1.66558710909091,11150.5749830382,108,295
60,COGM3S5_20200129,108,Grand Mesa,39.0191126246793,-108.198624246687,2020-01-29,1.46428571428571,287.666666666667,NaN,1.87512806190476,10485.1643951489,74.3000104439472,202.839028511976
65,COGM5C27_20200209,100,Grand Mesa,39.0254657412136,-108.173691660551,2020-02-09,1.61538461538462,134.685315789474,-3.11,1.30169089954615,9524.96590139039,88.936397209684,242.796364382437
66,COGM5N10_20200128,85,Grand Mesa,39.0331238619507,-108.199838028832,2020-01-28,1.83333333333333,239.214285714286,-4.48,1.7825749547619,8416.02812386857,93.7819425766951,256.024703234378
67,COGM5N10_20200210,101,Grand Mesa,39.0331336941861,-108.199872293384,2020-02-10,1.61111111111111,255.7,-3.62727272727273,1.78726322111111,9549.67450906739,92.8801886754125,253.562915083876
68,COGM5N11_20200210,98,Grand Mesa,39.0356530074338,-108.199738136931,2020-02-10,1.27777777777778,289.8,-3.10909090909091,1.83199031777778,11979.6460795177,102.31476848019,279.319317950918
69,COGM5N15_20200206,113,Grand Mesa,39.0337628393617,-108.191946528278,2020-02-06,1.45833333333333,275,-4.91538461538462,1.82252833333333,10527.0175829514,112.05903214497,305.921157755767
70,COGM5N19_20200128,102,Grand Mesa,39.0335743337375,-108.190105832884,2020-01-28,1.3125,239.090909090909,-5.05,1.63765161363636,11669.6054854496,91.3524718573121,249.392248170462
71,COGM5N24_20200212,106,Grand Mesa,39.0329451163152,-108.185683673372,2020-02-12,1.775,306.954545454545,-3.50769230769231,2.03887076818182,8686.42967108997,142.509856097407,389.051907145921
73,COGM5S21_20200201,110,Grand Mesa,39.019348435717,-108.1751711176,2020-02-01,1.92857142857143,265.090909090909,-3.53333333333333,1.91306802077922,8009.34053122548,104.750834396385,285.96977790213
74,COGM5S24_20200129,97,Grand Mesa,39.0182634967474,-108.169070535218,2020-01-29,0.928571428571429,257.222222222222,-4.12727272727273,1.6041178015873,16369.4437401416,108.404933270677,295.945467828948
75,COGM5S29_20200204,110,Grand Mesa,39.0180100877311,-108.165315863425,2020-02-04,1.28571428571429,278.466666666667,-4.91666666666667,1.7886050447619,11907.3195913624,98.6606696058971,269.343628024099
76,COGM5S31_20200130,112,Grand Mesa,39.0194661890254,-108.164807278235,2020-01-30,1.30555555555556,275.875,-3.78461538461538,1.78368256805556,11730.3087173486,102,279
81,COGM6N16_20200208,121,Grand Mesa,39.0314656014445,-108.191575481294,2020-02-08,1.33333333333333,334.538461538462,-3.2,2.02734738717949,11491.2485123692,96.2246036897021,262.693168072887
82,COGM6N18_20200128,92,Grand Mesa,39.0340381648638,-108.191034638968,2020-01-28,1.1875,224.05,-7.27272727272727,1.542490065,12869.6170036836,86.4803400249221,236.091328268038
85,COGM6N46_20200201,97,Grand Mesa,39.0281313856883,-108.151813556049,2020-02-01,1.10714285714286,283.777777777778,-4.87272727272727,1.76045006984127,13782.4402816476,88,240
87,COGM6S26_20200212,112,Grand Mesa,39.0184014605302,-108.167332756711,2020-02-12,2.4375,296.833333333333,-4.99230769230769,2.18187146666667,6369.7950450285,107.18690031258,292.620237853342
88,COGM6S32_20200206,103,Grand Mesa,39.016922780734,-108.164689513164,2020-02-06,1.03125,258.194444444444,-7.29230769230769,1.63650113888889,14773.6343822012,104.750834396385,285.96977790213
89,COGM6S34_20200204,70,Grand Mesa,39.0158003775715,-108.162621077834,2020-02-04,1.65,254.583333333333,-7.6,1.79355554166667,9329.49215540872,103.532801438287,282.644547926524
91,COGM6S53_20200206,101,Grand Mesa,39.0161033164304,-108.124615849056,2020-02-06,1.46428571428571,252.6,-5.2,1.73407940857143,10485.1643951489,89,242
92,COGM7N40_20200204,100,Grand Mesa,39.0307002284909,-108.163688209227,2020-02-04,1.3125,277,-6.25833333333333,1.79013335,11669.6054854496,95,260
96,COGM9N44_20200201,143,Grand Mesa,39.0287455818399,-108.1600010412,2020-02-01,0.972222222222222,286.955555555556,-4.4625,1.73581855333333,15650.2975763616,138,376
108,COGMFL1B_20200212,100,Grand Mesa,39.0219277222056,-108.174167569245,2020-02-12,1.46875,285.12962962963,-4.07272727272727,1.86616128425926,10453.9946869746,84,229
